dept_code,dept_name,difficulty,min_qty,max_qty,price_ht,pricing_type,valid_from,valid_to
1,Ain,standard,1,12,42.819,forfait,2026-02-01,2026-11-30
1,Ain,standard,13,18,45.99,forfait,2026-02-01,2026-11-30
1,Ain,standard,19,24,48.552,forfait,2026-02-01,2026-11-30
1,Ain,standard,25,30,50.8095,forfait,2026-02-01,2026-11-30
1,Ain,standard,31,36,52.5525,forfait,2026-02-01,2026-11-30
1,Ain,standard,37,42,53.9385,forfait,2026-02-01,2026-11-30
1,Ain,standard,43,48,55.3875,forfait,2026-02-01,2026-11-30
1,Ain,standard,49,54,56.8155,forfait,2026-02-01,2026-11-30
1,Ain,standard,55,59,58.2435,forfait,2026-02-01,2026-11-30
1,Ain,standard,60,119,0.693,par_colis,2026-02-01,2026-11-30
1,Ain,standard,120,299,0.483,par_colis,2026-02-01,2026-11-30
1,Ain,standard,300,599,0.4515,par_colis,2026-02-01,2026-11-30
1,Ain,standard,600,799,0.378,par_colis,2026-02-01,2026-11-30
1,Ain,standard,800,1200,0.3255,par_colis,2026-02-01,2026-11-30
2,Aisne,standard,1,12,35.721,forfait,2026-02-01,2026-11-30
2,Aisne,standard,13,18,38.325,forfait,2026-02-01,2026-11-30
2,Aisne,standard,19,24,40.467,forfait,2026-02-01,2026-11-30
2,Aisne,standard,25,30,42.399,forfait,2026-02-01,2026-11-30
2,Aisne,standard,31,36,43.8165,forfait,2026-02-01,2026-11-30
2,Aisne,standard,37,42,44.982,forfait,2026-02-01,2026-11-30
2,Aisne,standard,43,48,46.1685,forfait,2026-02-01,2026-11-30
2,Aisne,standard,49,54,47.3865,forfait,2026-02-01,2026-11-30
2,Aisne,standard,55,59,48.573,forfait,2026-02-01,2026-11-30
2,Aisne,standard,60,119,0.546,par_colis,2026-02-01,2026-11-30
2,Aisne,standard,120,299,0.378,par_colis,2026-02-01,2026-11-30
2,Aisne,standard,300,599,0.3885,par_colis,2026-02-01,2026-11-30
2,Aisne,standard,600,799,0.3045,par_colis,2026-02-01,2026-11-30
2,Aisne,standard,800,1200,0.273,par_colis,2026-02-01,2026-11-30
3,Allier,standard,1,12,28.6125,forfait,2026-02-01,2026-11-30
3,Allier,standard,13,18,30.702,forfait,2026-02-01,2026-11-30
3,Allier,standard,19,24,32.445,forfait,2026-02-01,2026-11-30
3,Allier,standard,25,30,33.9465,forfait,2026-02-01,2026-11-30
3,Allier,standard,31,36,35.091,forfait,2026-02-01,2026-11-30
3,Allier,standard,37,42,36.078,forfait,2026-02-01,2026-11-30
3,Allier,standard,43,48,37.002,forfait,2026-02-01,2026-11-30
3,Allier,standard,49,54,37.968,forfait,2026-02-01,2026-11-30
3,Allier,standard,55,59,38.934,forfait,2026-02-01,2026-11-30
3,Allier,standard,60,119,0.483,par_colis,2026-02-01,2026-11-30
3,Allier,standard,120,299,0.3255,par_colis,2026-02-01,2026-11-30
3,Allier,standard,300,599,0.315,par_colis,2026-02-01,2026-11-30
3,Allier,standard,600,799,0.252,par_colis,2026-02-01,2026-11-30
3,Allier,standard,800,1200,0.231,par_colis,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,1,12,47.355,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,13,18,50.8095,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,19,24,53.634,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,25,30,56.1855,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,31,36,58.0755,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,37,42,59.6715,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,43,48,61.2255,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,49,54,62.8005,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,55,59,64.3755,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,60,119,0.7455,par_colis,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,120,299,0.504,par_colis,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,300,599,0.504,par_colis,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,600,799,0.399,par_colis,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,standard,800,1200,0.357,par_colis,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,1,12,56.8155,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,13,18,60.9525,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,19,24,64.3755,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,25,30,67.4205,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,31,36,69.6885,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,37,42,71.589,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,43,48,73.479,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,49,54,75.39,forfait,2026-02-01,2026-11-30
4,Alpes-de-Haute-Provence,Haute montagne,55,59,77.2695,forfait,2026-02-01,2026-11-30
